Time,DKe_wind,SE2_wind,SE4_wind
20/01/2015 03.00,0.1494721,0,0.2146901
20/01/2015 04.00,0.08840208,0,0.2164536
20/01/2015 05.00,0.1278325,0,0.2769131
20/01/2015 06.00,0.0907987,0,0.2581528
20/01/2015 07.00,0.08653629,0.007326107,0.2473205
20/01/2015 08.00,0.05529194,0.04030318,0.1489342
20/01/2015 09.00,0.1265768,0.02270501,0.1282564
20/01/2015 10.00,0.1407136,0.023741,0.1234424
20/01/2015 11.00,0.0700812,0.0132716,0.1394989
20/01/2015 12.00,0.02728362,0.01223123,0.1101063
20/01/2015 13.00,0,0.01669889,0.105263
20/01/2015 14.00,0.03063426,0.04309051,0.05433108
20/01/2015 15.00,0.03556092,0.08115018,0.1039961
20/01/2015 16.00,0.007293377,0.1346923,0.1901222
20/01/2015 17.00,0.005893687,0.1830747,0.1210708
20/01/2015 18.00,0.0565649,0.3275317,0.1036954
20/01/2015 19.00,0.05103502,0.2568052,0.08766184
20/01/2015 20.00,0.00976751,0.1526262,0.1105249
20/01/2015 21.00,0.004604509,0.1789331,0.07556149
20/01/2015 22.00,0,0.1800429,0.08210677
20/01/2015 23.00,0,0.2737152,0.03638781
21/01/2015 00.00,0,0.1882358,0.04062589
21/01/2015 01.00,0,0.2535501,0.005840198
21/01/2015 02.00,0.003584128,0.2113702,0.003188642
21/01/2015 03.00,0,0.1997255,0.007686368
21/01/2015 04.00,0.00102719,0.129807,0.03956999
21/01/2015 05.00,0.000783535,0.1354258,0.02603397
21/01/2015 06.00,0.007853053,0.1517843,0.08028752
21/01/2015 07.00,0,0.1805623,0.03782013
21/01/2015 08.00,0,0.189581,0.07705542
21/01/2015 09.00,0,0.1797919,0.06527133
21/01/2015 10.00,0,0.11422,0.03653733
21/01/2015 11.00,0,0.164074,0.007425657
21/01/2015 12.00,0,0.1295074,0
21/01/2015 13.00,0,0.1403094,0
21/01/2015 14.00,0.002403231,0.1911024,0.000497479
21/01/2015 15.00,0.009086508,0.1337151,0.002723525
21/01/2015 16.00,0,0.1050953,0
21/01/2015 17.00,0.001979852,0.1459696,0
21/01/2015 18.00,0,0.1312009,0.006836156
21/01/2015 19.00,0,0.1161716,0
21/01/2015 20.00,0.003682272,0.1165979,0
21/01/2015 21.00,0,0.07911866,0.000941294
21/01/2015 22.00,0.009884917,0.1115444,0
21/01/2015 23.00,0.01857276,0.09759767,0
22/01/2015 00.00,0.03684003,0.09530842,0
22/01/2015 01.00,0.06108353,0.06433195,0
22/01/2015 02.00,0.04110634,0.02384652,0
22/01/2015 03.00,0.05616152,0.03749993,0
22/01/2015 04.00,0.07026392,0.04347592,0
22/01/2015 05.00,0.03695129,0.01402071,0
22/01/2015 06.00,0.04433997,0.01389995,0.005000764
22/01/2015 07.00,0.0782557,0.05155669,0.01776754
22/01/2015 08.00,0.08832449,0.06314435,0.00700401
