HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2022-01-02T09:00:00+00:00,2022-01-02T10:00:00,DK1,2461.68,311.34,152.98,314.9,11.81,1.8,1.75,12.35,90.89,948.91,464.68,938,389,-969
2022-01-02T09:00:00+00:00,2022-01-02T10:00:00,DK2,1635.02,339.36,91.52,144.86,35.92,,,3.15,86.54,338.7,921.15,859,-389,-745
2022-01-02T10:00:00+00:00,2022-01-02T11:00:00,DK1,2495.68,346.28,151.79,327,11.66,1.8,1.8,18.94,91.35,721.38,344.76,1183,580,-1134
2022-01-02T10:00:00+00:00,2022-01-02T11:00:00,DK2,1671.62,363.56,90.23,142.79,35.53,,,4.73,86.17,324.73,852.13,890,-580,-492
2022-01-02T11:00:00+00:00,2022-01-02T12:00:00,DK1,2500.18,345.4,147.62,325.96,11.56,1.8,1.96,22.96,90.75,569.33,248.93,1104,591,-807
2022-01-02T11:00:00+00:00,2022-01-02T12:00:00,DK2,1698.1,370.11,91.22,144.34,35.84,,,7.05,85.31,267.99,803.04,902,-591,-378
2022-01-02T12:00:00+00:00,2022-01-02T13:00:00,DK1,2510.35,341.54,137.63,347.69,11.69,1.8,2.17,21.46,90.21,510.92,204.46,1327,599,-935
2022-01-02T12:00:00+00:00,2022-01-02T13:00:00,DK2,1701.35,336.15,91.01,144.01,35.78,,,4.7,85.98,229.34,531.66,905,-599,-29
2022-01-02T13:00:00+00:00,2022-01-02T14:00:00,DK1,2489.99,264.11,134.85,432.55,11.61,1.8,2.18,10.77,90.12,495.09,351.51,765,600,-526
2022-01-02T13:00:00+00:00,2022-01-02T14:00:00,DK2,1701.47,489.42,94.99,150.46,37.02,,,3.14,86.43,240.66,357.21,934,-600,-39
2022-01-02T14:00:00+00:00,2022-01-02T15:00:00,DK1,2572.33,286.26,137.18,516.33,11.82,1.79,2.2,1.64,89.77,491.04,546.45,848,600,-844
2022-01-02T14:00:00+00:00,2022-01-02T15:00:00,DK2,1728.37,456.79,89.11,144.37,35.85,,,0.62,85.78,282.2,429.71,956,-600,-90
2022-01-02T15:00:00+00:00,2022-01-02T16:00:00,DK1,2694.14,347.69,148,475.14,11.56,1.8,2.17,0.58,89.82,641.18,644.98,779,597,-945
2022-01-02T15:00:00+00:00,2022-01-02T16:00:00,DK2,1826.66,506.28,92.83,150.65,37.06,,,0,87.51,287.34,644.06,919,-597,-238
2022-01-02T16:00:00+00:00,2022-01-02T17:00:00,DK1,2895.29,370.75,181.95,600.96,11.76,1.8,2.15,0.57,90.6,918.32,650.46,235,595,-671
2022-01-02T16:00:00+00:00,2022-01-02T17:00:00,DK2,1977.83,490.32,94.2,152.84,37.48,,,0,87.47,361.63,785.45,889,-595,-296
2022-01-02T17:00:00+00:00,2022-01-02T18:00:00,DK1,2781.93,331.44,158.59,406.47,11.88,1.8,2.17,0.57,89.85,1210.75,839.35,103,587,-843
2022-01-02T17:00:00+00:00,2022-01-02T18:00:00,DK2,1953.55,491.43,92.5,150.11,36.95,,,0,86.73,407.18,908.08,867,-587,-470
2022-01-02T18:00:00+00:00,2022-01-02T19:00:00,DK1,2616.28,296.67,140.12,302.69,10.99,1.8,2.08,0.57,90.44,1594.92,977.85,-39,253,-864
2022-01-02T18:00:00+00:00,2022-01-02T19:00:00,DK2,1816.7,513.2,93.31,148.32,30.64,,,0,86.63,483.32,930.09,788,-253,-972
2022-01-02T19:00:00+00:00,2022-01-02T20:00:00,DK1,2471.49,211.96,138.47,299.07,11.08,1.8,2.08,0.57,90.11,1801.41,1061.04,3,-60,-863
2022-01-02T19:00:00+00:00,2022-01-02T20:00:00,DK2,1711.83,358.09,89.32,141.13,27.73,,,0,86.63,516.08,936.01,779,60,-1231
2022-01-02T20:00:00+00:00,2022-01-02T21:00:00,DK1,2370.86,204.62,136.94,324.75,10.79,1.8,2.05,0.56,90.04,1762.92,1036.98,-441,400,-897
2022-01-02T20:00:00+00:00,2022-01-02T21:00:00,DK2,1603.45,290.78,87.9,138.81,27.28,,,0,86.35,498.99,933.24,758,-400,-748
2022-01-02T21:00:00+00:00,2022-01-02T22:00:00,DK1,2265.8,247.82,132.83,292.68,10.89,1.8,2.07,0.57,89.98,1545.44,913.26,9,450,-1159
2022-01-02T21:00:00+00:00,2022-01-02T22:00:00,DK2,1503.33,279.95,88.45,139.72,27.44,,,0,86.38,468.49,925.54,634,-450,-632
2022-01-02T22:00:00+00:00,2022-01-02T23:00:00,DK1,2141.41,259.24,130.18,273.59,11.57,1.8,2.14,0.56,88.97,1337.04,837.24,751,239,-1482
2022-01-02T22:00:00+00:00,2022-01-02T23:00:00,DK2,1417.66,208.08,88.55,139.83,27.47,,,0,85.87,396.17,909.76,752,-239,-880
2022-01-02T23:00:00+00:00,2022-01-03T00:00:00,DK1,2049.2,200.66,129.57,298.24,12.08,1.8,2.18,0.56,80.25,1264.13,866.86,1446,-206,-1763
2022-01-02T23:00:00+00:00,2022-01-03T00:00:00,DK2,1345.22,262.89,85.45,134.81,26.5,,,0,85.68,300.57,718.48,765,206,-1190
2022-01-03T00:00:00+00:00,2022-01-03T01:00:00,DK1,2070.28,189.19,132.09,301.05,12.13,1.8,2.18,0.56,80.36,1323.86,858.34,1457,-204,-1808
2022-01-03T00:00:00+00:00,2022-01-03T01:00:00,DK2,1275.21,243.26,85.76,135.36,26.6,,,0,85.62,271.84,536.17,815,204,-1074
2022-01-03T01:00:00+00:00,2022-01-03T02:00:00,DK1,2074.81,210.18,129.46,296.91,12,1.8,2.18,0.56,80.18,1356.94,863.54,1571,-357,-1823
2022-01-03T01:00:00+00:00,2022-01-03T02:00:00,DK2,1233.47,198.84,85.62,135.21,26.58,,,0,86.14,222.32,420.73,836,357,-1087
2022-01-03T02:00:00+00:00,2022-01-03T03:00:00,DK1,2064.53,186.82,113.15,255.89,11.89,1.8,2.17,0.56,80.36,1544.91,846.08,1440,-316,-1825
2022-01-03T02:00:00+00:00,2022-01-03T03:00:00,DK2,1220.85,194.36,86.1,135.98,26.72,,,0,86.04,238.38,285.73,867,316,-971
2022-01-03T03:00:00+00:00,2022-01-03T04:00:00,DK1,2104.88,152.49,105.41,254.71,11.88,1.8,2.18,0.56,80,1627.4,903.5,1403,-341,-1824
2022-01-03T03:00:00+00:00,2022-01-03T04:00:00,DK2,1256.25,207.44,85.9,135.6,26.64,,,0,84.34,315.29,492.54,916,341,-1297
2022-01-03T04:00:00+00:00,2022-01-03T05:00:00,DK1,2218.09,162.24,104.58,270.37,12.03,1.8,2.22,0.56,80.48,1727.18,958.02,1424,-418,-1816
2022-01-03T04:00:00+00:00,2022-01-03T05:00:00,DK2,1366.11,323.76,84.86,133.92,26.32,,,0,86.06,373.3,766.72,883,418,-1667
2022-01-03T05:00:00+00:00,2022-01-03T06:00:00,DK1,2644.67,222.27,144.18,285.83,11.45,1.8,3.21,0.57,83.6,1998.81,1011.73,975,-181,-1666
2022-01-03T05:00:00+00:00,2022-01-03T06:00:00,DK2,1556.34,316.37,85.61,135.22,26.55,,,0,85.75,414.78,839.8,801,181,-1276
2022-01-03T06:00:00+00:00,2022-01-03T07:00:00,DK1,3028.37,239.14,144.45,290.89,11.68,1.84,3.25,0.56,89.2,2117.5,965.61,745,-146,-1145
2022-01-03T06:00:00+00:00,2022-01-03T07:00:00,DK2,1743.68,483.08,88.94,144.08,28.26,,,0,86.82,346.7,879.9,453,146,-855
2022-01-03T07:00:00+00:00,2022-01-03T08:00:00,DK1,3201.84,275.4,132.06,361.82,11.6,2,3.23,0.58,90.58,2075.6,1081.12,827,-100,-1261
